Approximate Knowledge Data Request||||||||||
Category|Sub Category|No.|Product Image|Name|GEM|Price|Product Details|Size Variants|Star Rating|Del Options
|Coats|1|5054390265698|Peplum Blazer|GEM317481 |£18.00|"Incredibly stylish and sophisticated, this stunning peplum blazer is a fabulous addition to your wardrobe. A year-round masterpiece, this piece is perfect for completing your formal looks with a trendy twist.

•  Zip through fastening
•  Long sleeve"|6,8,10,12,14,16,18,20,22,24,26,28|No Review|"UK Delivery Information
Standard delivery (3-5) days
£2.95
Named day delivery
£4.50
Next working day
£4.50
Free standard delivery when you spend £45 or more.
This offer applies to clothing only. Delivery slots subject to availability."
||2|5054390107479|Moda Scuba Floral Blazer|GEM315668|£18.00|"Tap into the structured trend with this sleek, elegant scuba fabric blazer from Moda. The open front means it's easy to layer and flattering too, while the floral print makes it truly elegant. 

•  All-over print
•  Scuba fabric
•  Open front

With a relaxed cut that flatters grown-up curves and bold fabrics that spell confidence, the Moda collection injects personality into your look. Fluid pieces, rich colours and feminine details combine to create an organically chic capsule collection. So make life less ordinary with exciting, elegant clothes that put you centre stage."|6,8,10,12,14,16,18,20,22,24,26,28|No Review|"UK Delivery Information
Standard delivery (3-5) days
£2.95
Named day delivery
£4.50
Next working day
£4.50
Free standard delivery when you spend £45 or more.
This offer applies to clothing only. Delivery slots subject to availability."
||3|5054390107349|Lace Jacket|GEM315665 |£14.00|"Give your formal outfits a stylish spin with this lovely lace jacket. Whether you’re heading to work or out with friends, you’ll be completing your looks with this stunning piece. Team with one of our camisole vests to complete the look.

•  Long sleeve"|6,8,10,12,14,16,18,20,22,24,26,28|4.5|"UK Delivery Information
Standard delivery (3-5) days
£2.95
Named day delivery
£4.50
Next working day
£4.50
Free standard delivery when you spend £45 or more.
This offer applies to clothing only. Delivery slots subject to availability."
||4|5054240628468|Teddy Coat|GEM313991|£35.00|"A flawless fusion of comfort and style, this is the perfect winter coat that you’ve been searching for. Created using soft fabric and with a stand-out design, this piece can be worn anywhere, from work to a night out with friends, you’ll be completing every outfit with this prominent piece. 

•  Popper fastening
•  Twin front pockets"|6,8,10,12,14,16,18,20,22,24,26,28|No Review|"UK Delivery Information
Standard delivery (3-5) days
£2.95
Named day delivery
£4.50
Next working day
£4.50
Free standard delivery when you spend £45 or more.
This offer applies to clothing only. Delivery slots subject to availability."
||5|5054240502539|Leather Look Jacket|GEM313961 |£35.00|"This is that indispensable jacket that you’ve been searching for, versatile and cool you’ll be completing every outfit with a trendy edge with this leather look piece. This prominent piece is an eminently wearable cover-up that you’ll fall in love with this season. 

•  Zip through fastening
•  Twin front pockets"|6,8,10,12,14,16,18,20,22,24,26,28|No Review|"UK Delivery Information
Standard delivery (3-5) days
£2.95
Named day delivery
£4.50
Next working day
£4.50
Free standard delivery when you spend £45 or more.
This offer applies to clothing only. Delivery slots subject to availability."
||6|5054240437503|Teddy Coat|GEM313817|£35.00|"A flawless fusion of comfort and style, this is the perfect winter coat that you’ve been searching for. Created using soft fabric and with a stand-out design, this piece can be worn anywhere, from work to a night out with friends, you’ll be completing every outfit with this prominent piece. 

•  Popper fastening
•  Twin front pockets"|6,8,10,12,14,16,18,20,22,24,26,28|No Review|"UK Delivery Information
Standard delivery (3-5) days
£2.95
Named day delivery
£4.50
Next working day
£4.50
Free standard delivery when you spend £45 or more.
This offer applies to clothing only. Delivery slots subject to availability."
||7|5054240966959|Barbara Hulanicki Animal Wrap Jacket|GEM313783 |£10.00|"The last word in animal print dressing, this wrap jacket from legendary designer Barbara Hulanicki recalls all the elegance and style of the 70s. The cinched-in waist will give you a chic hourglass silhouette while the oversized lapels are so on-trend this season. You'll be wearing this piece round the clock. 

•  Long sleeves
•  Open front
•  Animal-print lapel"|6,8,10,12,14,16,18,20,22,24,26,28|No Review|"UK Delivery Information
Standard delivery (3-5) days
£2.95
Named day delivery
£4.50
Next working day
£4.50
Free standard delivery when you spend £45 or more.
This offer applies to clothing only. Delivery slots subject to availability."
||8|5054240954529|Monochrome Blazer|GEM313394 |£15.00|"Master the monochrome trend this season with this fantastically fashionable blazer. The ideal investment to take you from work to the weekend, you’ll be layering up in style whatever the weather.

•  Open front"|6,8,10,12,14,16,18,20,22,24,26,28|No Review|"UK Delivery Information
Standard delivery (3-5) days
£2.95
Named day delivery
£4.50
Next working day
£4.50
Free standard delivery when you spend £45 or more.
This offer applies to clothing only. Delivery slots subject to availability."
||9|5054240954390|Textured Blazer|GEM313223|£15.00|"Look and feel special this season with this sophisticated textured blazer. The ultimate work-to-weekend piece, you’ll be using this blazer to transform your outfits with a pop of classic character.

•  Open front
•  ¾ sleeve"|6,8,10,12,14,16,18,20,22,24,26,28|No Review|"UK Delivery Information
Standard delivery (3-5) days
£2.95
Named day delivery
£4.50
Next working day
£4.50
Free standard delivery when you spend £45 or more.
This offer applies to clothing only. Delivery slots subject to availability."
||10|5054240962395|Floral Animal Waffle Jacket|GEM313194 |£8.00|"Bring some pattern into your tailoring with this super on-trend jacket. Crafted with a flattering open front, it's easy to throw on over all manner of outfits, and will feel just as good as it looks thanks to the fine waffle-textured fabric. 

•  Open front
•  Long sleeves
•  All-over print"|6,8,10,12,14,16,18,20,22,24,26,28|No Review|"UK Delivery Information
Standard delivery (3-5) days
£2.95
Named day delivery
£4.50
Next working day
£4.50
Free standard delivery when you spend £45 or more.
This offer applies to clothing only. Delivery slots subject to availability."
